id,Skill_Rating,Skill,Worker
1,2,python,1
2,5,MLT,1
3,2,Statistical Modeling,1
4,5,machine learning,1
5,4,IT Skills,1
6,2,advanced analytics,1
7,2,scala,1
8,1,statistics,1
9,4,Data Science,2
10,5,Machine learning,2
11,2,Python,2
12,5,Azure,2
13,1,BiqQuery,2
14,2,GCP,2
15,3,PySpark,2
16,3,tensorflow,2
17,5,Python,3
18,5,IT Skills,3
19,3,Testing,3
20,3,Cloud,3
21,1,Product Management,3
22,4,SAP,3
23,4,Cloud computing,3
24,3,NLP,3
25,5,python,4
26,2,machine learning,4
27,4,Data Science,4
28,2,data analysis,4
29,2,aws,4
30,3,azure,4
31,2,IT Skills,5
32,5,Python,5
33,4,Data Science,5
34,4,Machine Learning,5
35,5,Big Data,5
36,4,Computer science,5
37,2,Computer vision,5
38,2,deep learning,5
39,5,Data Science,6
40,4,oral communication,6
41,5,Shell,6
42,5,Python,6
43,2,Unix,6
44,2,written,6
45,5,Big Data,6
46,5,machine learning,6
47,4,Computer science,7
48,5,cassandra,7
49,4,Machine learning,7
50,3,Agile,7
51,5,Data structures,7
52,4,Open source,7
53,4,Distribution system,7
54,5,Analytics,7
55,1,team lead,8
56,5,MLT,8
57,3,machine learning,8
58,4,aws,8
59,1,Python,8
60,4,IT Skills,8
61,5,Testing,8
62,2,Data Science,8
63,2,Graphics,9
64,5,Bidding,9
65,3,Google Analytics,9
66,5,Data management,9
67,1,Social networking,9
68,3,Google AdWords,9
69,4,HTML,9
70,4,Business intelligence,9
71,4,Machine Learning,10
72,1,Python,10
73,5,Tableau,10
74,1,Azure,10
75,3,GCP,10
76,5,data mining,10
77,1,Data analysis,10
78,3,SQL,10
79,5,Machine learning,11
80,1,IT Skills,11
81,2,Java,11
82,5,Python,11
83,3,Software Development,11
84,1,Data Science,11
85,3,NLP,11
86,5,Open Source,11
87,2,Time series forecasting,12
88,3,Machine Learning,12
89,1,Sql,12
90,5,Python,12
91,5,CNN,12
92,2,RNN,12
93,5,un- supervised learning,12
94,3,supervised learning,12
95,1,Computer science,13
96,1,C++,13
97,1,Artificial Intelligence,13
98,5,Machine learning,13
99,5,SCALA,13
100,3,Agile,13
101,3,Data structures,13
102,2,Scrum,13
103,3,database knowledge,14
104,1,R,14
105,3,Statistical Programming,14
106,5,Python,14
107,2,IT Skills,14
108,3,Machine Learning,14
109,1,Mathematics and Science background,14
110,5,SAS,14
111,4,Computer science,15
112,2,Computer vision,15
113,3,Operations research,15
114,2,Product engineering,15
115,5,data science,15
116,2,Coding,15
117,3,Machine learning,15
118,1,Information retrieval,15
119,1,CI / CD,16
120,1,Algorithms,16
121,4,Data Science,16
122,2,NoSQL,16
123,2,Data Structure,16
124,1,Python,16
125,4,Azure,16
126,3,AWS,16
127,2,Computer vision,17
128,4,GIT,17
129,4,Machine learning,17
130,3,JIRA,17
131,4,Python,17
132,1,deep learning,17
133,1,data science,17
134,2,Neural networks,17
135,5,data science,18
136,4,E-commerce,18
137,4,Statistics,18
138,3,python,19
139,2,Tableau,19
140,2,Machine Learning,19
141,1,sql,19
142,5,Statistical Modeling,19
143,4,Adv Excel,19
144,1,Microstrategy,19
