id,Profession,Rating,Nbr_Rating
1,Senior Data Scientist,4.36403657233335,86
2,Senior Data Scientist,4.12015570609954,84
3,Applied Data Scientist / ML Senior Engineer (Python / SQL),4.054568414891,366
4,Data Scientist,4.99481488097356,210
5,Data Scientist,2.85741192512371,176
6,Principal Data Scientist,4.66291319874207,341
7,Data Scientist,3.20166972640837,476
8,Expert Data Scientist,4.34605438326312,486
9,Data Scientist,3.42284533534488,459
10,Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,2.74336439223097,388
11,Senior Data Scientist - Machine Learning,3.62490412563291,304
12,Data Scientist / Senior Data Scientist,4.11490134959351,48
13,Sr Data Scientist,3.66686302582278,433
14,Senior Data Scientist,4.35055525332835,378
15,Senior Data Scientist,4.25071310757648,426
16,Lead Python Data Scientist,2.44021246767997,340
17,Senior Data Scientist Grade12,3.38181037519289,474
18,Senior Data Scientist Grade12,4.71947838256227,460
19,Sr. Analyst - Applied Data Scientist,4.87322104543683,257
20,Data Scientist V,4.72277620028563,402
21,"Manager, Data Scientist/AI and Machine Learning Specialist",4.58015545679055,87
22,Digital-Process Manager-Data Scientist PM,2.1051748232828,57
23,Associate Data Scientist,4.47515524147372,498
24,Senior Data Scientist,2.59406320584911,211
25,Senior Data Scientist,2.41543546788119,185
26,Junior Data Analyst/ Scientist- Fresher Position,2.49255969427121,115
27,Sr. Clinical Data Programming Scientist,2.00430369201634,74
28,"Manager, Senior Clinical Data Scientist, Clinical Data Sciences",3.03601638154796,407
29,Senior Data Scientist,2.7051010910695,417
30,Digital-Senior Process Manager- Data Scientist SPM,2.92269374027123,237
31,Data Scientist,2.0363567018151,214
32,Data Scientist - Machine learning AI,2.69455075273525,374
33,DATA SCIENTIST,2.62260504224051,217
34,Principal Data Scientist - Digital Marketing,4.04061143588415,63
35,Manager Applied Data Scientist,3.94796369429513,260
36,Sr Data Scientist and Engineer,2.0954767144166,272
37,Data Scientist/ Sr Data Scientist,4.20994964352413,291
